modelYear,make,model,summary,source,date,text_clean,cluster,type_retour,confidence,composant,probleme,gravite,impact_securite,signal_faible
,toyota,grand highlander,i purchased this vehicle in canada and i need to use this vehicle in united states roads as well. toyota is reluctant to confirm this vehicle is meeting federal motor vehicle safety standards   except labelling and it is safe to drive in united states roads. this vehicle is equipped with tpms but it is not listed as a part present in the vehicle which makes me worry. request you to probe this requirement and make me and my loved ones feel safe in driving this vehicle.,review,2023-11-03,i  this vehicle in canada and i need to use this vehicle in united states roads as well  toyota is  to confirm this vehicle is meeting federal motor vehicle safety  except  and it is safe to drive in united states roads  this vehicle is  with tpms but it is not listed as a part present in the vehicle which makes me worry  request you to probe this  and make me and my loved ones feel safe in driving this vehicle,0,demande,0.85,,,,False,False
2007,ford,freestyle," i got talked into this car and have regretted it ever since. it has always given me problems. the surging issue being the most scary. in parking lots, at stop lights, whenever idling the stupid thing just surges forward or in reverse and i've nearly hit people and other cars many times! my foot is completely on the break and it just takes off. it has left me stranded, and i have 3 small children. now its not shifting out of first gear and the abs light just came on too. i hate this car. praying it doesn't cost me an arm and a leg to fix. ford..you really need to take this seriously and recall these issues! they are dangerous and your going to end up getting sued. ",sav,2023-08-08,i got talked into this car and have  it ever since  it has always given me   the surging issue being the most scary  in parking lots  at stop lights   idling the stupid thing just surges forward or in reverse and i ve nearly hit people and other cars many times  my foot is  on the break and it just takes off  it has left me   and i have   small   now its not  out of first gear and the abs light just came on too  i hate this car  praying it doesn t cost me an arm and a leg to fix  ford  you really need to take this  and recall these issues  they are  and your going to end up getting sued,2,reclamation_garantie,0.9,transmission,surging issue causing unintended acceleration,elevee,True,True
,mazda,cx-5,"vehicle was on a city street traveling at 35-40 mph when the front left wheel (yokohama geolandar g91) spontaneously blew out despite not colliding with any objects or road hazards. as a result, driver side curtain and seat airbags erroneously deployed and the vehicle immediately shutoff, causing disorientation and temporary loss of hearing in one ear.",review,2025-01-30,vehicle was on a city street  at       mph when the front left wheel    g     blew out despite not  with any objects or road hazards  as a result  driver side curtain and seat airbags   and the vehicle  shutoff  causing  and  loss of hearing in one ear,4,plainte,0.9,autre,pneu avant gauche a éclaté sans raison apparente,elevee,True,True
,gmc,sierra 1500,"the contact owns a 2019 gmc sierra 1500. the contact stated that the rearview camera displayed a black screen while the vehicle was in reverse(r). the contact stated that the failure obstructed driving visibility, preventing the driver from safely operating the vehicle. the vehicle was taken to the dealer; however, the contact was informed by the dealer that the part needed for the recall repair was not available. the vehicle was not repaired. the contact stated that the failure persisted. the manufacturer was not notified of the failure. the failure mileage was unknown.",review,2024-02-16,the contact owns a      gmc sierra       the contact stated that the  camera  a black screen while the vehicle was in reverse r   the contact stated that the failure  driving    the driver from safely  the vehicle  the vehicle was taken to the dealer  however  the contact was  by the dealer that the part needed for the recall repair was not   the vehicle was not   the contact stated that the failure   the  was not  of the failure  the failure mileage was unknown,5,reclamation_garantie,0.9,electronique,écran noir de la caméra en marche arrière,moyenne,True,True
,chevrolet,silverado 1500,"door actuator failure left rear door, symptoms are the door doesnt lock and unlock from the switch or keyless, when this problem presents it self the door fails to open from the inside. like child safety is on/when it is not engaged, this could be a safety risk to someone trying to exit the vehicle quickly and not know that they have a problem.  after inspection i found there was a broken pin in the oem connector, yes i have it available for inspection. no problem wasn't reproduced or confirmed at a dealer. no inspection from manufacture, police, ins etc... there weren't any warnings, door lock just worked intermittently.",review,2024-08-14,door  failure left rear door   are the door doesnt lock and unlock from the switch or keyless  when this problem  it self the door fails to open from the inside  like child safety is on when it is not engaged  this could be a safety risk to someone trying to exit the vehicle quickly and not know that they have a problem  after  i found there was a broken pin in the oem   yes i have it  for   no problem wasn t  or  at a dealer  no  from   police  ins etc    there weren t any   door lock just worked,4,plainte,0.9,autre,porte arrière gauche ne se verrouille pas et ne s'ouvre pas de l'intérieur,élevée,True,False
,ford,transit,"when i collided with a ford truck all my air bags deployed as they should, i could not move without intense pain in my lower back so i sat in place until removed by ems.  after partial recovery i examined the vehicle and saw that the seat belt anchor bolt over my shoulder had bulled out of the pillar behind my seat (not the floor).  i was on a city street moving at about 45 mph.  a truck turned in front of me and we collided head to head.  damage on my vehicle was primarily on the front drivers side.",review,2024-09-18,when i  with a ford truck all my air bags  as they should  i could not move without intense pain in my lower back so i sat in place until removed by ems  after partial  i  the vehicle and saw that the seat belt anchor bolt over my  had bulled out of the pillar behind my seat  not the floor   i was on a city street moving at about    mph  a truck turned in front of me and we  head to head  damage on my vehicle was  on the front drivers side,4,plainte,0.9,carrosserie,ancrage de la ceinture de sécurité défectueux,élevée,True,False
,chevrolet,tahoe,"the contact owns a 2017 chevrolet tahoe. the contact stated while the vehicle was at a red light, parked, or while driving at undisclosed speeds, the vehicle shuddered abnormally. the check engine warning light was illuminated. the vehicle was taken to an independent mechanic where it was diagnosed and determined that the fuel injectors needed to be replaced. the independent mechanic made the contact aware of an unknown nhtsa campaign number; however, the vin was not included. the vehicle was not repaired. the manufacturer was not notified of the failure. the failure mileage was approximately 126,000.",review,2025-09-29,the contact owns a       tahoe  the contact stated while the vehicle was at a red light  parked  or while driving at  speeds  the vehicle    the check engine warning light was   the vehicle was taken to an   where it was  and  that the fuel  needed to be   the   made the contact aware of an unknown nhtsa  number  however  the vin was not   the vehicle was not   the  was not  of the failure  the failure mileage was,6,reclamation_garantie,0.9,moteur,le témoin de vérification du moteur s'allume,moyenne,False,True
,lincoln,mkx,"vehicle (suv) floor board and truck had standing water from unknown source. suspect rear hatch and/or glass roof design allows for environmental contamination to enter. water travels down to floor and pools. for example, spare tire was found to be submerged. rear seat and trunk carpeting were moist (saturated) to the touch.   concern: if water in the vehicle is undetected and is allowed to pool for long periods of time,  three things will happen: 1. accelerated corrosion and loss of function for any electrical wiring.  2. standing water can develop mold, impacting air quality through long term and repeated exposure. impact of vehicle occupants health. (in our instance, mom & newborn)  3. accelerated corrosion of vehicle internal structure. for example, seat fasteners.  item was discovered by third party service center and dealership is investigating root cause now. dealer commented this is a problem more common with other models in the same family but not the model of this vehicle.   no warning or indicator of the problem was present.",review,2023-11-30,vehicle  suv  floor board and truck had  water from unknown source  suspect rear hatch and or glass roof design allows for   to enter  water travels down to floor and pools  for example  spare tire was found to be   rear seat and trunk  were moist    to the touch  concern  if water in the vehicle is  and is allowed to pool for long periods of time  three things will happen       and loss of  for any  wiring      water can develop mold   air quality through long term and    impact of vehicle  health   in our   mom   newborn       of vehicle    for example  seat   item was  by third party service center and  is  root cause now  dealer  this is a problem more common with other models in the same family but not the model of this vehicle  no warning or  of the problem was present,4,plainte,0.9,carrosserie,fuite d'eau dans le véhicule,moyenne,True,True
,ford,focus,"the contact owns a 2016 ford focus. the contact stated while attempting to move off from a red light, the vehicle was shuddering. additionally, while shifting from first or second gear the vehicle would shudder. occasionally, while idling at a stop light the rpm fluctuated as if the vehicle would stall. the contact took the vehicle to the dealer who diagnosed that the clutch plates failed and needed to be replaced. the vehicle had not been repaired. the contact stated that the vehicle was not included in nhtsa campaign numbers: 18v169000 (power train) or 18v845000 (power train). the manufacturer was made aware of the failure and informed the contact that the vin was not included. the approximate failure mileage was 75,124.",review,2025-05-10,the contact owns a      ford focus  the contact stated while  to move off from a red light  the vehicle was     while  from first or second gear the vehicle would shudder    while idling at a stop light the rpm  as if the vehicle would stall  the contact took the vehicle to the dealer who  that the clutch plates failed and needed to be   the vehicle had not been   the contact stated that the vehicle was not  in nhtsa  numbers    power train  or   power train   the  was made aware of the failure and  the contact that the vin was not   the  failure mileage was,6,reclamation_garantie,0.9,transmission,clutch plates failed,moyenne,False,True
2021,ford,puma,le mode électrique se coupe tout seul et repasse en thermique,synthetic_fr,2023-10-06,le mode électrique se coupe tout seul et repasse en,0,plainte,0.9,autre,le mode électrique se coupe tout seul,moyenne,False,True
